category_name,name,rating,votes,address
Banquet_Halls,Shree Lakshmi Function Hall,4.1,9,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
Banquet_Halls,Lts Mahal Ac,5.0,9,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Pm Mahal Ac,4.5,4,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,4,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Hotel Mount Paradise,3.7,4,"37, Vellore Bye Pass Road, Sathuvacheri, Vellore - 632009, Next to Collector Office"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,4,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Baby Residency,4.0,6,"7, Officers Line Anna Salai, Krishna Nagar, Vellore - 632001, Opp Dig Bangla"
Banquet_Halls,Benzz Park,3.9,6,"4, Dharmaraja Koil Street, Old Katpadi Road, Vellore Ho, Vellore - 632001, Next to Pachayappas Silk & Old National Theatre"
Banquet_Halls,Durga Mahal Ac,4.1,599,"padi to Gudiyattam Road, Katpadi Road, KATPADI VELLORE, Vellore - 632002, Kizhvadugankuttai"
Banquet_Halls,Srinivas Thirumana Mandapam,3.5,599,"6 Vaisha Complex, Arni Road, Bagayam, Vellore - 632002, Near Govt Arts College"
Banquet_Halls,Shree Lakshmi Function Hall,4.1,9,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,9,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Lts Mahal Ac,5.0,2,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,2,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Pm Mahal Ac,4.5,4,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Hotel Mount Paradise,3.7,4,"37, Vellore Bye Pass Road, Sathuvacheri, Vellore - 632009, Next to Collector Office"
Banquet_Halls,Baby Residency,4.0,6,"7, Officers Line Anna Salai, Krishna Nagar, Vellore - 632001, Opp Dig Bangla"
Banquet_Halls,Sri Narayani Mahal,4.5,6,"rumalaikodi, Ariyur, Vellore - 632055, Near Golden Temple"
Banquet_Halls,Bagiyam & Nadham Function H..,4.5,4,"ST FLOOR LRK EMPIRE BUILDING, # 58 ANNA SALAI, KRISHNA NAGAR, Vellore - 632001, NEXT To LAKSHMI THEATER"
Banquet_Halls,Sri Gajalakshmi Arangam,4.1,4,", Arni Road, Sainathapuram, Vellore - 632001, Near Pillaiyar Kovil Opposite"
Banquet_Halls,Shree Lakshmi Function Hall,4.1,9,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
Banquet_Halls,Lts Mahal Ac,5.0,9,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,4,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,4,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Pm Mahal Ac,4.5,2,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Hotel Mount Paradise,3.7,2,"37, Vellore Bye Pass Road, Sathuvacheri, Vellore - 632009, Next to Collector Office"
Banquet_Halls,Baby Residency,4.0,6,"7, Officers Line Anna Salai, Krishna Nagar, Vellore - 632001, Opp Dig Bangla"
Banquet_Halls,Sri Narayani Mahal,4.5,6,"rumalaikodi, Ariyur, Vellore - 632055, Near Golden Temple"
Banquet_Halls,Bagiyam & Nadham Function H..,4.5,4,"ST FLOOR LRK EMPIRE BUILDING, # 58 ANNA SALAI, KRISHNA NAGAR, Vellore - 632001, NEXT To LAKSHMI THEATER"
Banquet_Halls,Sri Gajalakshmi Arangam,4.1,4,", Arni Road, Sainathapuram, Vellore - 632001, Near Pillaiyar Kovil Opposite"
Banquet_Halls,Shree Lakshmi Function Hall,4.1,9,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
Banquet_Halls,Lts Mahal Ac,5.0,9,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,4,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Pm Mahal Ac,4.5,4,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Hotel Mount Paradise,3.7,6,"37, Vellore Bye Pass Road, Sathuvacheri, Vellore - 632009, Next to Collector Office"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,6,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Baby Residency,4.0,4,"7, Officers Line Anna Salai, Krishna Nagar, Vellore - 632001, Opp Dig Bangla"
Banquet_Halls,Benzz Park,3.9,4,"4, Dharmaraja Koil Street, Old Katpadi Road, Vellore Ho, Vellore - 632001, Next to Pachayappas Silk & Old National Theatre"
Banquet_Halls,Durga Mahal Ac,4.1,599,"padi to Gudiyattam Road, Katpadi Road, KATPADI VELLORE, Vellore - 632002, Kizhvadugankuttai"
Banquet_Halls,Srinivas Thirumana Mandapam,3.5,599,"6 Vaisha Complex, Arni Road, Bagayam, Vellore - 632002, Near Govt Arts College"
Banquet_Halls,Ghayathri Mini Hall Ac,5.0,6,"18, Arni Road, Bagayam, Vellore - 632002"
Banquet_Halls,Dhanamsathyan Mahal Ac,4.8,6,"1/118, Dharmapuri Main Road, Kakankar Railway Station, Vellore - 635654, Kakangarai"
Banquet_Halls,Lts Mahal Ac,5.0,2,"-203/1B2 6B , Ramalingam Nagar, Arni Road, Edayansathu, Vellore - 632002, Near HP Petrol Bunk"
Banquet_Halls,Pm Mahal Ac,4.5,2,"5/4, Vellore to Arni Road-Adukkamparai, Adukkamparai, Vellore - 632011, Opposite to EB Office"
Banquet_Halls,Shree Lakshmi Function Hall,4.1,4,"26, New Thiruvalam Road Vit Road, KATPADI VELLORE, Vellore - 632002, Near Chittoor Bus Stand"
